LANGUAGE,ORIGINAL,ENGLISH,CZECH,GERMAN,RUSSIAN,POLISH,HUNGARIAN,ITALIAN,SPANISH,FRENCH,CHINESE,PORTUGUESE,JAPANESE,CHINESE SIMP.
"STR_SMP_00142","**Дата:** ","**Date:** ","**Date:** ","**Date:** ","**Дата:** ","**Date:** ","**Date:** ","**Date:** ","**Date:** ","**Date:** ","**Date:** ","**Date:** ","**Date:** ","**Date:** "
"STR_SMP_00143","**Казна:** ","**Treasury:** ","**Treasury:** ","**Treasury:** ","**Казна:** ","**Treasury:** ","**Treasury:** ","**Treasury:** ","**Treasury:** ","**Treasury:** ","**Treasury:** ","**Treasury:** ","**Treasury:** ","**Treasury:** "
"STR_SMP_00144","**Карта:** `","**Map:** `","**Map:** `","**Map:** `","**Карта:** `","**Map:** `","**Map:** `","**Map:** `","**Map:** `","**Map:** `","**Map:** `","**Map:** `","**Map:** `","**Map:** `"
"STR_SMP_00145","**Клан:** ","**Clan:** ","**Clan:** ","**Clan:** ","**Клан:** ","**Clan:** ","**Clan:** ","**Clan:** ","**Clan:** ","**Clan:** ","**Clan:** ","**Clan:** ","**Clan:** ","**Clan:** "
"STR_SMP_00146","**Кого касается:** ","**To whom it may concern:** ","**To whom it may concern:** ","**To whom it may concern:** ","**Кого касается:** ","**To whom it may concern:** ","**To whom it may concern:** ","**To whom it may concern:** ","**To whom it may concern:** ","**To whom it may concern:** ","**To whom it may concern:** ","**To whom it may concern:** ","**To whom it may concern:** ","**To whom it may concern:** "
"STR_SMP_00147","**Координаты базы:** `","**Base coordinates:** `","**Base coordinates:** `","**Base coordinates:** `","**Координаты базы:** `","**Base coordinates:** `","**Base coordinates:** `","**Base coordinates:** `","**Base coordinates:** `","**Base coordinates:** `","**Base coordinates:** `","**Base coordinates:** `","**Base coordinates:** `","**Base coordinates:** `"
"STR_SMP_00148","**Кто сделал:** ","**Who made it:** ","**Who made it:** ","**Who made it:** ","**Кто сделал:** ","**Who made it:** ","**Who made it:** ","**Who made it:** ","**Who made it:** ","**Who made it:** ","**Who made it:** ","**Who made it:** ","**Who made it:** ","**Who made it:** "
"STR_SMP_00149","**Событие:** ","**Event:** ","**Event:** ","**Event:** ","**Событие:** ","**Event:** ","**Event:** ","**Event:** ","**Event:** ","**Event:** ","**Event:** ","**Event:** ","**Event:** ","**Event:** "
"STR_SMP_00150","**Тег:** ","**Tag:** ","**Tag:** ","**Tag:** ","**Тег:** ","**Tag:** ","**Tag:** ","**Tag:** ","**Tag:** ","**Tag:** ","**Tag:** ","**Tag:** ","**Tag:** ","**Tag:** "
"STR_SMP_00151","**Уровень:** ","**Level:** ","**Level:** ","**Level:** ","**Уровень:** ","**Level:** ","**Level:** ","**Level:** ","**Level:** ","**Level:** ","**Level:** ","**Level:** ","**Level:** ","**Level:** "
"STR_SMP_00152","**Участники:** ","**Participants:** ","**Participants:** ","**Participants:** ","**Участники:** ","**Participants:** ","**Participants:** ","**Participants:** ","**Participants:** ","**Participants:** ","**Participants:** ","**Participants:** ","**Participants:** ","**Participants:** "
"STR_SMP_00153","**Хозяин:** ","**Owner:** ","**Owner:** ","**Owner:** ","**Хозяин:** ","**Owner:** ","**Owner:** ","**Owner:** ","**Owner:** ","**Owner:** ","**Owner:** ","**Owner:** ","**Owner:** ","**Owner:** "
"STR_SMP_00154",", аудит: включён",", audit: enabled",", audit: enabled",", audit: enabled",", аудит: включён",", audit: enabled",", audit: enabled",", audit: enabled",", audit: enabled",", audit: enabled",", audit: enabled",", audit: enabled",", audit: enabled",", audit: enabled"
"STR_SMP_00155",", в казне ",", in the treasury ",", in the treasury ",", in the treasury ",", в казне ",", in the treasury ",", in the treasury ",", in the treasury ",", in the treasury ",", in the treasury ",", in the treasury ",", in the treasury ",", in the treasury ",", in the treasury "
"STR_SMP_00156",", контейнер в склад",", container to storage",", container to storage",", container to storage",", контейнер в склад",", container to storage",", container to storage",", container to storage",", container to storage",", container to storage",", container to storage",", container to storage",", container to storage",", container to storage"
"STR_SMP_00157",", лотов ",", lots ",", lots ",", lots ",", лотов ",", lots ",", lots ",", lots ",", lots ",", lots ",", lots ",", lots ",", lots ",", lots "
"STR_SMP_00158",", лотов: ",", lots: ",", lots: ",", lots: ",", лотов: ",", lots: ",", lots: ",", lots: ",", lots: ",", lots: ",", lots: ",", lots: ",", lots: ",", lots: "
"STR_SMP_00159",", предметов склада ",", storage items ",", storage items ",", storage items ",", предметов склада ",", storage items ",", storage items ",", storage items ",", storage items ",", storage items ",", storage items ",", storage items ",", storage items ",", storage items "
"STR_SMP_00160",", сервер маркет ",", server market ",", server market ",", server market ",", сервер маркет ",", server market ",", server market ",", server market ",", server market ",", server market ",", server market ",", server market ",", server market ",", server market "
"STR_SMP_00161",", сервер маркет: ",", server market: ",", server market: ",", server market: ",", сервер маркет: ",", server market: ",", server market: ",", server market: ",", server market: ",", server market: ",", server market: ",", server market: ",", server market: ",", server market: "
"STR_SMP_00162",", товаров: ",", items: ",", items: ",", items: ",", товаров: ",", items: ",", items: ",", items: ",", items: ",", items: ",", items: ",", items: ",", items: ",", items: "
"STR_SMP_00163",", у вас ",", you have ",", you have ",", you have ",", у вас ",", you have ",", you have ",", you have ",", you have ",", you have ",", you have ",", you have ",", you have ",", you have "
"STR_SMP_00164",". Баланс казны: ",". Treasury balance: ",". Treasury balance: ",". Treasury balance: ",". Баланс казны: ",". Treasury balance: ",". Treasury balance: ",". Treasury balance: ",". Treasury balance: ",". Treasury balance: ",". Treasury balance: ",". Treasury balance: ",". Treasury balance: ",". Treasury balance: "
"STR_SMP_00165",". Награда: ",". Reward: ",". Reward: ",". Reward: ",". Награда: ",". Reward: ",". Reward: ",". Reward: ",". Reward: ",". Reward: ",". Reward: ",". Reward: ",". Reward: ",". Reward: "
"STR_SMP_00166",". Налог продажи: ",". Sales tax: ",". Sales tax: ",". Sales tax: ",". Налог продажи: ",". Sales tax: ",". Sales tax: ",". Sales tax: ",". Sales tax: ",". Sales tax: ",". Sales tax: ",". Sales tax: ",". Sales tax: ",". Sales tax: "
"STR_SMP_00167",". Причина: ",". Reason: ",". Reason: ",". Reason: ",". Причина: ",". Reason: ",". Reason: ",". Reason: ",". Reason: ",". Reason: ",". Reason: ",". Reason: ",". Reason: ",". Reason: "
"STR_SMP_00168",": в инвентаре нет подходящей валюты",": there is no suitable currency in inventory",": there is no suitable currency in inventory",": there is no suitable currency in inventory",": в инвентаре нет подходящей валюты",": there is no suitable currency in inventory",": there is no suitable currency in inventory",": there is no suitable currency in inventory",": there is no suitable currency in inventory",": there is no suitable currency in inventory",": there is no suitable currency in inventory",": there is no suitable currency in inventory",": there is no suitable currency in inventory",": there is no suitable currency in inventory"
"STR_SMP_00169",": клан """,": clan """,": clan """,": clan """,": клан """,": clan """,": clan """,": clan """,": clan """,": clan """,": clan """,": clan """,": clan """,": clan """
"STR_SMP_00170",": топ «",": top """,": top """,": top """,": топ «",": top """,": top """,": top """,": top """,": top """,": top """,": top """,": top """,": top """
"STR_SMP_00171","[SM_PartyMod] ClanMapWidgetFull не найден в лейауте!","[SM_PartyMod] ClanMapWidgetFull not found in the layout!","[SM_PartyMod] ClanMapWidgetFull not found in the layout!","[SM_PartyMod] ClanMapWidgetFull not found in the layout!","[SM_PartyMod] ClanMapWidgetFull не найден в лейауте!","[SM_PartyMod] ClanMapWidgetFull not found in the layout!","[SM_PartyMod] ClanMapWidgetFull not found in the layout!","[SM_PartyMod] ClanMapWidgetFull not found in the layout!","[SM_PartyMod] ClanMapWidgetFull not found in the layout!","[SM_PartyMod] ClanMapWidgetFull not found in the layout!","[SM_PartyMod] ClanMapWidgetFull not found in the layout!","[SM_PartyMod] ClanMapWidgetFull not found in the layout!","[SM_PartyMod] ClanMapWidgetFull not found in the layout!","[SM_PartyMod] ClanMapWidgetFull not found in the layout!"
"STR_SMP_00172","[SM_PartyMod] Settings.json обновлён командой от ","[SM_PartyMod] Settings.json updated by team from ","[SM_PartyMod] Settings.json updated by team from ","[SM_PartyMod] Settings.json updated by team from ","[SM_PartyMod] Settings.json обновлён командой от ","[SM_PartyMod] Settings.json updated by team from ","[SM_PartyMod] Settings.json updated by team from ","[SM_PartyMod] Settings.json updated by team from ","[SM_PartyMod] Settings.json updated by team from ","[SM_PartyMod] Settings.json updated by team from ","[SM_PartyMod] Settings.json updated by team from ","[SM_PartyMod] Settings.json updated by team from ","[SM_PartyMod] Settings.json updated by team from ","[SM_PartyMod] Settings.json updated by team from "
"STR_SMP_00173","[SM_PartyMod] Возврат осиротевших объектов распущенных кланов: лотов ","[SM_PartyMod] Return of orphaned objects of dissolved clans: lots ","[SM_PartyMod] Return of orphaned objects of dissolved clans: lots ","[SM_PartyMod] Return of orphaned objects of dissolved clans: lots ","[SM_PartyMod] Возврат осиротевших объектов распущенных кланов: лотов ","[SM_PartyMod] Return of orphaned objects of dissolved clans: lots ","[SM_PartyMod] Return of orphaned objects of dissolved clans: lots ","[SM_PartyMod] Return of orphaned objects of dissolved clans: lots ","[SM_PartyMod] Return of orphaned objects of dissolved clans: lots ","[SM_PartyMod] Return of orphaned objects of dissolved clans: lots ","[SM_PartyMod] Return of orphaned objects of dissolved clans: lots ","[SM_PartyMod] Return of orphaned objects of dissolved clans: lots ","[SM_PartyMod] Return of orphaned objects of dissolved clans: lots ","[SM_PartyMod] Return of orphaned objects of dissolved clans: lots "
"STR_SMP_00174","[SM_PartyMod] Клан распущен игроком ","[SM_PartyMod] Clan dissolved by player ","[SM_PartyMod] Clan dissolved by player ","[SM_PartyMod] Clan dissolved by player ","[SM_PartyMod] Клан распущен игроком ","[SM_PartyMod] Clan dissolved by player ","[SM_PartyMod] Clan dissolved by player ","[SM_PartyMod] Clan dissolved by player ","[SM_PartyMod] Clan dissolved by player ","[SM_PartyMod] Clan dissolved by player ","[SM_PartyMod] Clan dissolved by player ","[SM_PartyMod] Clan dissolved by player ","[SM_PartyMod] Clan dissolved by player ","[SM_PartyMod] Clan dissolved by player "
"STR_SMP_00175","[SM_PartyMod] Команда обновления конфига проигнорирована: игрок не найден или имя не уникально (","[SM_PartyMod] The config update command was ignored: the player was not found or the name is not unique (","[SM_PartyMod] The config update command was ignored: the player was not found or the name is not unique (","[SM_PartyMod] The config update command was ignored: the player was not found or the name is not unique (","[SM_PartyMod] Команда обновления конфига проигнорирована: игрок не найден или имя не уникально (","[SM_PartyMod] The config update command was ignored: the player was not found or the name is not unique (","[SM_PartyMod] The config update command was ignored: the player was not found or the name is not unique (","[SM_PartyMod] The config update command was ignored: the player was not found or the name is not unique (","[SM_PartyMod] The config update command was ignored: the player was not found or the name is not unique (","[SM_PartyMod] The config update command was ignored: the player was not found or the name is not unique (","[SM_PartyMod] The config update command was ignored: the player was not found or the name is not unique (","[SM_PartyMod] The config update command was ignored: the player was not found or the name is not unique (","[SM_PartyMod] The config update command was ignored: the player was not found or the name is not unique (","[SM_PartyMod] The config update command was ignored: the player was not found or the name is not unique ("
"STR_SMP_00176","[SM_PartyMod] Менеджер кланов запущен. Кланов: ","[SM_PartyMod] Clan Manager is running. Clans: ","[SM_PartyMod] Clan Manager is running. Clans: ","[SM_PartyMod] Clan Manager is running. Clans: ","[SM_PartyMod] Менеджер кланов запущен. Кланов: ","[SM_PartyMod] Clan Manager is running. Clans: ","[SM_PartyMod] Clan Manager is running. Clans: ","[SM_PartyMod] Clan Manager is running. Clans: ","[SM_PartyMod] Clan Manager is running. Clans: ","[SM_PartyMod] Clan Manager is running. Clans: ","[SM_PartyMod] Clan Manager is running. Clans: ","[SM_PartyMod] Clan Manager is running. Clans: ","[SM_PartyMod] Clan Manager is running. Clans: ","[SM_PartyMod] Clan Manager is running. Clans: "
"STR_SMP_00177","[SM_PartyMod] Награда ","[SM_PartyMod] Reward ","[SM_PartyMod] Reward ","[SM_PartyMod] Reward ","[SM_PartyMod] Награда ","[SM_PartyMod] Reward ","[SM_PartyMod] Reward ","[SM_PartyMod] Reward ","[SM_PartyMod] Reward ","[SM_PartyMod] Reward ","[SM_PartyMod] Reward ","[SM_PartyMod] Reward ","[SM_PartyMod] Reward ","[SM_PartyMod] Reward "
"STR_SMP_00178","[SM_PartyMod] Не удалось загрузить личные метки: ","[SM_PartyMod] Failed to load personal tags: ","[SM_PartyMod] Failed to load personal tags: ","[SM_PartyMod] Failed to load personal tags: ","[SM_PartyMod] Не удалось загрузить личные метки: ","[SM_PartyMod] Failed to load personal tags: ","[SM_PartyMod] Failed to load personal tags: ","[SM_PartyMod] Failed to load personal tags: ","[SM_PartyMod] Failed to load personal tags: ","[SM_PartyMod] Failed to load personal tags: ","[SM_PartyMod] Failed to load personal tags: ","[SM_PartyMod] Failed to load personal tags: ","[SM_PartyMod] Failed to load personal tags: ","[SM_PartyMod] Failed to load personal tags: "
"STR_SMP_00179","[SM_PartyMod] Не удалось загрузить настройки: ","[SM_PartyMod] Failed to load settings: ","[SM_PartyMod] Failed to load settings: ","[SM_PartyMod] Failed to load settings: ","[SM_PartyMod] Не удалось загрузить настройки: ","[SM_PartyMod] Failed to load settings: ","[SM_PartyMod] Failed to load settings: ","[SM_PartyMod] Failed to load settings: ","[SM_PartyMod] Failed to load settings: ","[SM_PartyMod] Failed to load settings: ","[SM_PartyMod] Failed to load settings: ","[SM_PartyMod] Failed to load settings: ","[SM_PartyMod] Failed to load settings: ","[SM_PartyMod] Failed to load settings: "
"STR_SMP_00180","[SM_PartyMod] Не удалось сохранить личные метки: ","[SM_PartyMod] Failed to save personal tags: ","[SM_PartyMod] Failed to save personal tags: ","[SM_PartyMod] Failed to save personal tags: ","[SM_PartyMod] Не удалось сохранить личные метки: ","[SM_PartyMod] Failed to save personal tags: ","[SM_PartyMod] Failed to save personal tags: ","[SM_PartyMod] Failed to save personal tags: ","[SM_PartyMod] Failed to save personal tags: ","[SM_PartyMod] Failed to save personal tags: ","[SM_PartyMod] Failed to save personal tags: ","[SM_PartyMod] Failed to save personal tags: ","[SM_PartyMod] Failed to save personal tags: ","[SM_PartyMod] Failed to save personal tags: "
"STR_SMP_00181","[SM_PartyMod] Не удалось сохранить настройки: ","[SM_PartyMod] Failed to save settings: ","[SM_PartyMod] Failed to save settings: ","[SM_PartyMod] Failed to save settings: ","[SM_PartyMod] Не удалось сохранить настройки: ","[SM_PartyMod] Failed to save settings: ","[SM_PartyMod] Failed to save settings: ","[SM_PartyMod] Failed to save settings: ","[SM_PartyMod] Failed to save settings: ","[SM_PartyMod] Failed to save settings: ","[SM_PartyMod] Failed to save settings: ","[SM_PartyMod] Failed to save settings: ","[SM_PartyMod] Failed to save settings: ","[SM_PartyMod] Failed to save settings: "
"STR_SMP_00182","[SM_PartyMod] Ошибка записи Achievements\Players.json: ","[SM_PartyMod] Error writing Achievements\Players.json: ","[SM_PartyMod] Error writing Achievements\Players.json: ","[SM_PartyMod] Error writing Achievements\Players.json: ","[SM_PartyMod] Ошибка записи Achievements\Players.json: ","[SM_PartyMod] Error writing Achievements\Players.json: ","[SM_PartyMod] Error writing Achievements\Players.json: ","[SM_PartyMod] Error writing Achievements\Players.json: ","[SM_PartyMod] Error writing Achievements\Players.json: ","[SM_PartyMod] Error writing Achievements\Players.json: ","[SM_PartyMod] Error writing Achievements\Players.json: ","[SM_PartyMod] Error writing Achievements\Players.json: ","[SM_PartyMod] Error writing Achievements\Players.json: ","[SM_PartyMod] Error writing Achievements\Players.json: "
"STR_SMP_00183","[SM_PartyMod] Ошибка записи Auction\State.json: ","[SM_PartyMod] Error writing Auction\State.json: ","[SM_PartyMod] Error writing Auction\State.json: ","[SM_PartyMod] Error writing Auction\State.json: ","[SM_PartyMod] Ошибка записи Auction\State.json: ","[SM_PartyMod] Error writing Auction\State.json: ","[SM_PartyMod] Error writing Auction\State.json: ","[SM_PartyMod] Error writing Auction\State.json: ","[SM_PartyMod] Error writing Auction\State.json: ","[SM_PartyMod] Error writing Auction\State.json: ","[SM_PartyMod] Error writing Auction\State.json: ","[SM_PartyMod] Error writing Auction\State.json: ","[SM_PartyMod] Error writing Auction\State.json: ","[SM_PartyMod] Error writing Auction\State.json: "
"STR_SMP_00184","[SM_PartyMod] Ошибка записи ChatMutes.json: ","[SM_PartyMod] Error writing ChatMutes.json: ","[SM_PartyMod] Error writing ChatMutes.json: ","[SM_PartyMod] Error writing ChatMutes.json: ","[SM_PartyMod] Ошибка записи ChatMutes.json: ","[SM_PartyMod] Error writing ChatMutes.json: ","[SM_PartyMod] Error writing ChatMutes.json: ","[SM_PartyMod] Error writing ChatMutes.json: ","[SM_PartyMod] Error writing ChatMutes.json: ","[SM_PartyMod] Error writing ChatMutes.json: ","[SM_PartyMod] Error writing ChatMutes.json: ","[SM_PartyMod] Error writing ChatMutes.json: ","[SM_PartyMod] Error writing ChatMutes.json: ","[SM_PartyMod] Error writing ChatMutes.json: "
"STR_SMP_00185","[SM_PartyMod] Ошибка записи Clans\Index.json: ","[SM_PartyMod] Error writing Clans\Index.json: ","[SM_PartyMod] Error writing Clans\Index.json: ","[SM_PartyMod] Error writing Clans\Index.json: ","[SM_PartyMod] Ошибка записи Clans\Index.json: ","[SM_PartyMod] Error writing Clans\Index.json: ","[SM_PartyMod] Error writing Clans\Index.json: ","[SM_PartyMod] Error writing Clans\Index.json: ","[SM_PartyMod] Error writing Clans\Index.json: ","[SM_PartyMod] Error writing Clans\Index.json: ","[SM_PartyMod] Error writing Clans\Index.json: ","[SM_PartyMod] Error writing Clans\Index.json: ","[SM_PartyMod] Error writing Clans\Index.json: ","[SM_PartyMod] Error writing Clans\Index.json: "
"STR_SMP_00186","[SM_PartyMod] Ошибка записи Contracts\State.json: ","[SM_PartyMod] Error writing Contracts\State.json: ","[SM_PartyMod] Error writing Contracts\State.json: ","[SM_PartyMod] Error writing Contracts\State.json: ","[SM_PartyMod] Ошибка записи Contracts\State.json: ","[SM_PartyMod] Error writing Contracts\State.json: ","[SM_PartyMod] Error writing Contracts\State.json: ","[SM_PartyMod] Error writing Contracts\State.json: ","[SM_PartyMod] Error writing Contracts\State.json: ","[SM_PartyMod] Error writing Contracts\State.json: ","[SM_PartyMod] Error writing Contracts\State.json: ","[SM_PartyMod] Error writing Contracts\State.json: ","[SM_PartyMod] Error writing Contracts\State.json: ","[SM_PartyMod] Error writing Contracts\State.json: "
"STR_SMP_00187","[SM_PartyMod] Ошибка записи Market\Index.json: ","[SM_PartyMod] Error writing Market\Index.json: ","[SM_PartyMod] Error writing Market\Index.json: ","[SM_PartyMod] Error writing Market\Index.json: ","[SM_PartyMod] Ошибка записи Market\Index.json: ","[SM_PartyMod] Error writing Market\Index.json: ","[SM_PartyMod] Error writing Market\Index.json: ","[SM_PartyMod] Error writing Market\Index.json: ","[SM_PartyMod] Error writing Market\Index.json: ","[SM_PartyMod] Error writing Market\Index.json: ","[SM_PartyMod] Error writing Market\Index.json: ","[SM_PartyMod] Error writing Market\Index.json: ","[SM_PartyMod] Error writing Market\Index.json: ","[SM_PartyMod] Error writing Market\Index.json: "
"STR_SMP_00188","[SM_PartyMod] Ошибка записи Market\PendingReturns.json: ","[SM_PartyMod] Error writing Market\PendingReturns.json: ","[SM_PartyMod] Error writing Market\PendingReturns.json: ","[SM_PartyMod] Error writing Market\PendingReturns.json: ","[SM_PartyMod] Ошибка записи Market\PendingReturns.json: ","[SM_PartyMod] Error writing Market\PendingReturns.json: ","[SM_PartyMod] Error writing Market\PendingReturns.json: ","[SM_PartyMod] Error writing Market\PendingReturns.json: ","[SM_PartyMod] Error writing Market\PendingReturns.json: ","[SM_PartyMod] Error writing Market\PendingReturns.json: ","[SM_PartyMod] Error writing Market\PendingReturns.json: ","[SM_PartyMod] Error writing Market\PendingReturns.json: ","[SM_PartyMod] Error writing Market\PendingReturns.json: ","[SM_PartyMod] Error writing Market\PendingReturns.json: "
"STR_SMP_00189","[SM_PartyMod] Ошибка записи PlayerExperience\Players.json: ","[SM_PartyMod] Error writing PlayerExperience\Players.json: ","[SM_PartyMod] Error writing PlayerExperience\Players.json: ","[SM_PartyMod] Error writing PlayerExperience\Players.json: ","[SM_PartyMod] Ошибка записи PlayerExperience\Players.json: ","[SM_PartyMod] Error writing PlayerExperience\Players.json: ","[SM_PartyMod] Error writing PlayerExperience\Players.json: ","[SM_PartyMod] Error writing PlayerExperience\Players.json: ","[SM_PartyMod] Error writing PlayerExperience\Players.json: ","[SM_PartyMod] Error writing PlayerExperience\Players.json: ","[SM_PartyMod] Error writing PlayerExperience\Players.json: ","[SM_PartyMod] Error writing PlayerExperience\Players.json: ","[SM_PartyMod] Error writing PlayerExperience\Players.json: ","[SM_PartyMod] Error writing PlayerExperience\Players.json: "
"STR_SMP_00190","[SM_PartyMod] Ошибка записи ServerMarket\State.json: ","[SM_PartyMod] Error writing ServerMarket\State.json: ","[SM_PartyMod] Error writing ServerMarket\State.json: ","[SM_PartyMod] Error writing ServerMarket\State.json: ","[SM_PartyMod] Ошибка записи ServerMarket\State.json: ","[SM_PartyMod] Error writing ServerMarket\State.json: ","[SM_PartyMod] Error writing ServerMarket\State.json: ","[SM_PartyMod] Error writing ServerMarket\State.json: ","[SM_PartyMod] Error writing ServerMarket\State.json: ","[SM_PartyMod] Error writing ServerMarket\State.json: ","[SM_PartyMod] Error writing ServerMarket\State.json: ","[SM_PartyMod] Error writing ServerMarket\State.json: ","[SM_PartyMod] Error writing ServerMarket\State.json: ","[SM_PartyMod] Error writing ServerMarket\State.json: "
"STR_SMP_00191","[SM_PartyMod] Ошибка записи Settings.json: ","[SM_PartyMod] Error writing Settings.json: ","[SM_PartyMod] Error writing Settings.json: ","[SM_PartyMod] Error writing Settings.json: ","[SM_PartyMod] Ошибка записи Settings.json: ","[SM_PartyMod] Error writing Settings.json: ","[SM_PartyMod] Error writing Settings.json: ","[SM_PartyMod] Error writing Settings.json: ","[SM_PartyMod] Error writing Settings.json: ","[SM_PartyMod] Error writing Settings.json: ","[SM_PartyMod] Error writing Settings.json: ","[SM_PartyMod] Error writing Settings.json: ","[SM_PartyMod] Error writing Settings.json: ","[SM_PartyMod] Error writing Settings.json: "
"STR_SMP_00192","[SM_PartyMod] Ошибка записи Storage\Index.json: ","[SM_PartyMod] Error writing Storage\Index.json: ","[SM_PartyMod] Error writing Storage\Index.json: ","[SM_PartyMod] Error writing Storage\Index.json: ","[SM_PartyMod] Ошибка записи Storage\Index.json: ","[SM_PartyMod] Error writing Storage\Index.json: ","[SM_PartyMod] Error writing Storage\Index.json: ","[SM_PartyMod] Error writing Storage\Index.json: ","[SM_PartyMod] Error writing Storage\Index.json: ","[SM_PartyMod] Error writing Storage\Index.json: ","[SM_PartyMod] Error writing Storage\Index.json: ","[SM_PartyMod] Error writing Storage\Index.json: ","[SM_PartyMod] Error writing Storage\Index.json: ","[SM_PartyMod] Error writing Storage\Index.json: "
"STR_SMP_00193","[SM_PartyMod] Ошибка записи Storage\PendingReturns.json: ","[SM_PartyMod] Error writing Storage\PendingReturns.json: ","[SM_PartyMod] Error writing Storage\PendingReturns.json: ","[SM_PartyMod] Error writing Storage\PendingReturns.json: ","[SM_PartyMod] Ошибка записи Storage\PendingReturns.json: ","[SM_PartyMod] Error writing Storage\PendingReturns.json: ","[SM_PartyMod] Error writing Storage\PendingReturns.json: ","[SM_PartyMod] Error writing Storage\PendingReturns.json: ","[SM_PartyMod] Error writing Storage\PendingReturns.json: ","[SM_PartyMod] Error writing Storage\PendingReturns.json: ","[SM_PartyMod] Error writing Storage\PendingReturns.json: ","[SM_PartyMod] Error writing Storage\PendingReturns.json: ","[SM_PartyMod] Error writing Storage\PendingReturns.json: ","[SM_PartyMod] Error writing Storage\PendingReturns.json: "
"STR_SMP_00194","[SM_PartyMod] Ошибка записи клана ","[SM_PartyMod] Clan entry error ","[SM_PartyMod] Clan entry error ","[SM_PartyMod] Clan entry error ","[SM_PartyMod] Ошибка записи клана ","[SM_PartyMod] Clan entry error ","[SM_PartyMod] Clan entry error ","[SM_PartyMod] Clan entry error ","[SM_PartyMod] Clan entry error ","[SM_PartyMod] Clan entry error ","[SM_PartyMod] Clan entry error ","[SM_PartyMod] Clan entry error ","[SM_PartyMod] Clan entry error ","[SM_PartyMod] Clan entry error "
"STR_SMP_00195","[SM_PartyMod] Ошибка записи лота ","[SM_PartyMod] Lot entry error ","[SM_PartyMod] Lot entry error ","[SM_PartyMod] Lot entry error ","[SM_PartyMod] Ошибка записи лота ","[SM_PartyMod] Lot entry error ","[SM_PartyMod] Lot entry error ","[SM_PartyMod] Lot entry error ","[SM_PartyMod] Lot entry error ","[SM_PartyMod] Lot entry error ","[SM_PartyMod] Lot entry error ","[SM_PartyMod] Lot entry error ","[SM_PartyMod] Lot entry error ","[SM_PartyMod] Lot entry error "
"STR_SMP_00196","[SM_PartyMod] Ошибка записи склада ","[SM_PartyMod] Storage entry error ","[SM_PartyMod] Storage entry error ","[SM_PartyMod] Storage entry error ","[SM_PartyMod] Ошибка записи склада ","[SM_PartyMod] Storage entry error ","[SM_PartyMod] Storage entry error ","[SM_PartyMod] Storage entry error ","[SM_PartyMod] Storage entry error ","[SM_PartyMod] Storage entry error ","[SM_PartyMod] Storage entry error ","[SM_PartyMod] Storage entry error ","[SM_PartyMod] Storage entry error ","[SM_PartyMod] Storage entry error "
"STR_SMP_00197","[SM_PartyMod] Ошибка миграции старого Settings.json: ","[SM_PartyMod] Error migrating old Settings.json: ","[SM_PartyMod] Error migrating old Settings.json: ","[SM_PartyMod] Error migrating old Settings.json: ","[SM_PartyMod] Ошибка миграции старого Settings.json: ","[SM_PartyMod] Error migrating old Settings.json: ","[SM_PartyMod] Error migrating old Settings.json: ","[SM_PartyMod] Error migrating old Settings.json: ","[SM_PartyMod] Error migrating old Settings.json: ","[SM_PartyMod] Error migrating old Settings.json: ","[SM_PartyMod] Error migrating old Settings.json: ","[SM_PartyMod] Error migrating old Settings.json: ","[SM_PartyMod] Error migrating old Settings.json: ","[SM_PartyMod] Error migrating old Settings.json: "
"STR_SMP_00198","[SM_PartyMod] Ошибка чтения Achievements\Players.json: ","[SM_PartyMod] Error reading Achievements\Players.json: ","[SM_PartyMod] Error reading Achievements\Players.json: ","[SM_PartyMod] Error reading Achievements\Players.json: ","[SM_PartyMod] Ошибка чтения Achievements\Players.json: ","[SM_PartyMod] Error reading Achievements\Players.json: ","[SM_PartyMod] Error reading Achievements\Players.json: ","[SM_PartyMod] Error reading Achievements\Players.json: ","[SM_PartyMod] Error reading Achievements\Players.json: ","[SM_PartyMod] Error reading Achievements\Players.json: ","[SM_PartyMod] Error reading Achievements\Players.json: ","[SM_PartyMod] Error reading Achievements\Players.json: ","[SM_PartyMod] Error reading Achievements\Players.json: ","[SM_PartyMod] Error reading Achievements\Players.json: "
"STR_SMP_00199","[SM_PartyMod] Ошибка чтения Auction\State.json: ","[SM_PartyMod] Error reading Auction\State.json: ","[SM_PartyMod] Error reading Auction\State.json: ","[SM_PartyMod] Error reading Auction\State.json: ","[SM_PartyMod] Ошибка чтения Auction\State.json: ","[SM_PartyMod] Error reading Auction\State.json: ","[SM_PartyMod] Error reading Auction\State.json: ","[SM_PartyMod] Error reading Auction\State.json: ","[SM_PartyMod] Error reading Auction\State.json: ","[SM_PartyMod] Error reading Auction\State.json: ","[SM_PartyMod] Error reading Auction\State.json: ","[SM_PartyMod] Error reading Auction\State.json: ","[SM_PartyMod] Error reading Auction\State.json: ","[SM_PartyMod] Error reading Auction\State.json: "
